"_id","emotion","id","negative_prob","positive_prob"
"6039c317c24900009500a1df","1","zAdq1hf8K","0.349636","0.650364"
"6039c317c24900009500a1e0","-1","FsBSTEgSs","0.98835","0.0116495"
"6039c317c24900009500a1e1","-1","AALS52Jwb","0.909999","0.0900009"
"6039c317c24900009500a1e2","1","AaMF3eyJ0","0.205836","0.794164"
"6039c317c24900009500a1e3","1","Cd7VC01px","0.151107","0.848893"
"6039c317c24900009500a1e4","-1","zqpTQmTIs","0.998041","0.00195925"
"6039c317c24900009500a1e5","1","CkPZRt5Sl","0.0202938","0.979706"
"6039c317c24900009500a1e6","1","A5hW29Vc6","0.0612048","0.938795"
"6039c317c24900009500a1e7","-1","zd1Cxz3RJ","0.996174","0.00382597"
"6039c317c24900009500a1e8","-1","DBZPf9rde","0.999431","0.000568942"
"6039c317c24900009500a1e9","-1","zx7GButfn","0.953869","0.0461312"
"6039c317c24900009500a1ea","-1","Az8JlovuG","0.989834","0.0101658"
"6039c317c24900009500a1eb","-1","HBYyG30Xf","0.995748","0.00425248"
"6039c317c24900009500a1ec","1","CalnGsX2V","0.0495218","0.950478"
"6039c317c24900009500a1ed","-1","D1lFBy8Vn","0.990019","0.00998086"
"6039c317c24900009500a1ee","1","GsB6r6h2A","0.182812","0.817188"
"6039c317c24900009500a1ef","1","AeIiI3fme","0.0131182","0.986882"
"6039c317c24900009500a1f0","1","zlYTed3kJ","0.0114674","0.988533"
"6039c317c24900009500a1f1","-1","BnziGBJKC","0.999864","0.000136285"
"6039c317c24900009500a1f2","1","CkXV0deek","0.0996381","0.900362"
"6039c317c24900009500a1f3","1","yyCZI1KHR","0.00326719","0.996733"
"6039c317c24900009500a1f4","-1","FfOOzuIeB","0.976252","0.0237482"
"6039c317c24900009500a1f5","-1","Crrp3Ceyx","0.995298","0.00470213"
"6039c317c24900009500a1f6","-1","BvDRJox7r","0.877992","0.122008"
"6039c317c24900009500a1f7","0","CidZTkhVp","0.520835","0.479165"
"6039c317c24900009500a1f8","1","z07HnhleT","0.363376","0.636624"
"6039c317c24900009500a1f9","1","ywdyXhm0N","0.313331","0.68667"
